re,im
0.0001436731572858653,1.069740289237793e-5
2.2270951647008824e-5,3.5482104795842018e-6
6.821217393275427e-6,2.2192674061297102e-8
3.964467055023093e-6,-5.281601148012655e-7
3.0965594616549127e-6,-5.523090442769493e-7
2.7582558448659665e-6,-5.269348936881146e-7
2.665023613863471e-6,-5.168447697839577e-7
2.758529907736021e-6,-5.270354014039799e-7
3.0962630055853674e-6,-5.521470827429212e-7
3.964829960507619e-6,-5.283268327241526e-7
6.821948383831707e-6,2.2114514786671785e-8
2.22696230950622e-5,3.5494314142177612e-6
0.00014365077126713127,1.0704109066581773e-5
0.00014373606022974133,1.064054790330185e-5
2.2267291776352505e-5,3.549494314721794e-6
6.820562549308181e-6,2.2582093796037067e-8
3.964922631198185e-6,-5.283706750621158e-7
3.0964920658897287e-6,-5.5223508706485e-7
2.7585724516425696e-6,-5.270620862061343e-7
2.6653139683589094e-6,-5.169283504051145e-7
2.7584244010547213e-6,-5.269887938994487e-7
3.096621276047276e-6,-5.523051674121912e-7
3.965273062532743e-6,-5.284748542540817e-7
6.821140722204676e-6,2.2443983927660296e-8
2.2262506448914596e-5,3.551495805435411e-6
0.00014366128997578124,1.0698757515119166e-5
0.0001437046180390606,1.0667720731018715e-5
2.2271399871271434e-5,3.548765604608709e-6
6.821181636367576e-6,2.2475999834296184e-8
3.965111929056606e-6,-5.283701871099892e-7
3.0964274868974014e-6,-5.522242517651786e-7
2.7586221552698513e-6,-5.270710155527627e-7
2.6648749761940243e-6,-5.167711875381925e-7
2.758418011368632e-6,-5.270184948520835e-7
3.096480444839036e-6,-5.522475426925251e-7
3.964812953112995e-6,-5.28217627565131e-7
6.8209536307863635e-6,2.2399104697987463e-8
2.2264993717218025e-5,3.5518195681952854e-6
0.00014367315728576685,1.0697402892438646e-5
0.0001436558689096863,1.070076374819792e-5
2.2261971932134366e-5,3.552566946903035e-6
6.8216155823194475e-6,2.2090811967884205e-8
3.96478515790155e-6,-5.282737506769313e-7
3.096813685032505e-6,-5.523262393265869e-7
2.758492452296663e-6,-5.269875908856317e-7
2.6652053777157046e-6,-5.168909876192892e-7
2.7586383038809455e-6,-5.270680105303165e-7
3.096720961690046e-6,-5.52270209581724e-7
3.965910181433566e-6,-5.286120617659269e-7
6.82214486239386e-6,2.2119400466206335e-8
2.2270951646982153e-5,3.5482104796019827e-6
0.00014373606022964288,1.0640547903365384e-5
0.00014366750434349003,1.0701695264196155e-5
2.2270850591208594e-5,3.5482614633398305e-6
6.819912904808961e-6,2.2713345535548685e-8
3.965038681031123e-6,-5.284012455429414e-7
3.096527886707612e-6,-5.522257854832097e-7
2.758637475223707e-6,-5.270739247631787e-7
2.6652030872742136e-6,-5.168845227717517e-7
2.7586390366064577e-6,-5.27049295747338e-7
3.0971266473159807e-6,-5.524023284628806e-7
3.965279576041009e-6,-5.283614611115497e-7
6.82121739326632e-6,2.2192674074090687e-8
2.2267291776335808e-5,3.549494314741093e-6
0.00014370461803895674,1.06677207310842e-5
0.00014374517623108314,1.0636140733826351e-5
2.2266285598991457e-5,3.550481223502837e-6
6.8208165066520506e-6,2.2403011002520776e-8
3.9648734498612306e-6,-5.282490093266867e-7
3.0964854486523717e-6,-5.521943336383919e-7
2.7583428899749345e-6,-5.269372609193086e-7
2.6648770392462273e-6,-5.167595420552205e-7
2.7584784499479036e-6,-5.269846079286513e-7
3.0960742277092237e-6,-5.520285906259782e-7
3.964467055005312e-6,-5.281601147956276e-7
6.8205625492899664e-6,2.258209380275912e-8
2.2271399871233487e-5,3.54876560462649e-6
0.00014365586890958786,1.070076374824801e-5
0.00014370314859882293,1.0669997128484208e-5
2.2269322613068746e-5,3.549124505335989e-6
6.82245391745882e-6,2.179597918534719e-8
3.965933330266243e-6,-5.286849548561453e-7
3.0970790427520267e-6,-5.524394867295786e-7
2.7588940417031405e-6,-5.271929016796052e-7
2.665488898724675e-6,-5.170141411927828e-7
2.7584878586010136e-6,-5.270261181668234e-7
3.0965594616507927e-6,-5.52309044263722e-7
3.964922631196233e-6,-5.283706750491054e-7
6.821181636353481e-6,2.2475999853594983e-8
2.22619719321142e-5,3.5525669469255866e-6
0.00014366750434339245,1.070169526425969e-5
0.00014365496407270947,1.0702893868104338e-5
2.226271306186812e-5,3.5517929494288496e-6
6.82055622956289e-6,2.259626326914059e-8
3.96473811313568e-6,-5.281430108187556e-7
3.0964571903241856e-6,-5.521676350124429e-7
2.7584089085190815e-6,-5.269475007773153e-7
2.6646764079646737e-6,-5.166597237358118e-7
2.7582558448575097e-6,-5.269348936846451e-7
3.0964920658849582e-6,-5.522350870605132e-7
3.965111929039259e-6,-5.283701870997977e-7
6.821615582303618e-6,2.2090811979159908e-8
2.22708505911726e-5,3.5482614633545757e-6
0.00014374517623098968,1.063614073388338e-5
0.00014366180920673895,1.0699860731447353e-5
2.2264382295700226e-5,3.5511139616555085e-6
6.8207181247715e-6,2.2516733179595363e-8
3.965477258819792e-6,-5.285192937395933e-7
